Spotify ID,Artist IDs,Track Name,Album Name,Artist Name(s),Release Date,Duration (ms),Popularity,Added By,Added At,Genres,Danceability,Energy,Key,Loudness,Mode,Speechiness,Acousticness,Instrumentalness,Liveness,Valence,Tempo,Time Signature
5QtQFSdyZEl0w4iDxAyv76,"7HCqGPJcQTyGJ2yqntbuyr","Namo Namo","Kedarnath","Amit Trivedi",2018-11-27,322250,70,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:07Z,"desi pop,filmi,modern bollywood",0.648,0.711,4,-6.216,1,0.0304,0.436,0,0.121,0.33,119.935,4
5QtQFSdyZEl0w4iDxAyv76,"7HCqGPJcQTyGJ2yqntbuyr","Namo Namo","Kedarnath","Amit Trivedi",2018-11-27,322250,70,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:14Z,"desi pop,filmi,modern bollywood",0.648,0.711,4,-6.216,1,0.0304,0.436,0,0.121,0.33,119.935,4
5KCvFKy39WXTnsiOoIqEla,"1dVygo6tRFXC8CSWURQJq2","Hanuman Chalisa","Haidakhandi - Aarti & Bhajans","Sonu Nigam",2016-04-13,483591,43,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:30Z,"desi pop,filmi,modern bollywood",0.47,0.405,11,-12.584,0,0.0598,0.701,0,0.109,0.426,104.704,4
6noNPbN7CDcTxohDskSRTB,"0LeihSBwZC2MrBVvjzEhy6","Achutum Kesevam","The Bhajan Project","Shivali",2010-11-18,194533,29,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:35Z,"",0.732,0.716,2,-5.604,1,0.0407,0.424,0,0.301,0.599,89.947,4
1KsszCPKYJAJ6EAKIpLo8s,"3kzGeGPP5gd5KAMm6QggHV","Sri Ramchandra Kripalu Bhajman","Shree Ram Bhajan","Anup Jalota",2016-09-29,318786,42,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:42Z,"bhajan,classic bollywood,filmi,ghazal",0.64,0.492,6,-9.308,1,0.039,0.543,0.00000132,0.0953,0.796,149.901,1
1KsszCPKYJAJ6EAKIpLo8s,"3kzGeGPP5gd5KAMm6QggHV","Sri Ramchandra Kripalu Bhajman","Shree Ram Bhajan","Anup Jalota",2016-09-29,318786,42,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:06:51Z,"bhajan,classic bollywood,filmi,ghazal",0.64,0.492,6,-9.308,1,0.039,0.543,0.00000132,0.0953,0.796,149.901,1
0rqxKvWQMF2tlfBrrpxM0l,"3ZFpN9rFHLxElJpqyABkMt","Govind Bolo Hari Gopal Bolo","Radhey Govind (Shree Krishna Bhajans)","Kishore Manraja",2014-07-10,343745,41,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:41:39Z,"gujarati garba,mantra",0.401,0.651,3,-8.292,1,0.0609,0.76,0.0000197,0.0473,0.496,84.439,4
44BrUlJvqtOHG2xXcOoChc,"1HGMG8RHvcu1mfdM9MeTek","Jai Krishna Kunj Vihari","Sri Sathya Sai Namsankirtan","Sadhana Sargam",2012-05-07,200881,23,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:41:44Z,"classic bollywood,filmi,modern bollywood,tamil pop",0.436,0.587,4,-7.454,1,0.0604,0.461,0,0.11,0.869,111.938,4
2I1nFkTHlhmN89nzYpqAo1,"6nAVJkZZ55jorZmO5bpezv","Mithe Ras Se","Arpan (Vallabh Ke Charnarvind )","Falguni Pathak",2001-01-01,511413,33,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:41:58Z,"classic bollywood,desi pop,filmi,modern bollywood",0.46,0.337,0,-13.53,1,0.114,0.59,0,0.122,0.752,86.526,4
2ifsTVDxbc3BGBPEwrOez5,"0yl2Dss8OxbolyTnWFqKbi","Shivoham","Sacred Chants of Shiva","Singers of the Art of Living",2000-01-01,389693,37,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:42:06Z,"kirtan",0.172,0.24,5,-15.917,1,0.038,0.933,0.00000572,0.307,0.153,114.542,5
0IurbCfDTDDKAVyBR9Jy7x,"0LeihSBwZC2MrBVvjzEhy6","Jag Mein Sundar Hai Do Naam","The Bhajan Project","Shivali",2010-11-18,223506,26,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:42:11Z,"",0.747,0.884,7,-5.083,1,0.0411,0.63,0.00000756,0.104,0.863,141.988,4
3DVQnrqH68yv3tVA85Ufap,"3kzGeGPP5gd5KAMm6QggHV","Hey Ram Hey Ram","Diwali Essentials","Anup Jalota",2018-10-31,1748845,30,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:42:24Z,"bhajan,classic bollywood,filmi,ghazal",0.609,0.548,4,-10.364,1,0.0282,0.552,0,0.0722,0.714,90.009,4
1cbNlsmz8LeP0trvXRe9N4,"3kzGeGPP5gd5KAMm6QggHV","Mangalbhawan Amangalhari (Ramayan Chaupaiyaan)","Diwali Essentials","Anup Jalota",2018-10-31,351490,31,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:42:30Z,"bhajan,classic bollywood,filmi,ghazal",0.61,0.606,0,-6.295,1,0.0308,0.311,0,0.115,0.639,82.522,4
5MecGeJDMAOpGoYKkhS4Xi,"2ijWbN5KykTYiBoVmhzCTU","Hare Krishna Hare Rama","Deepawali Special (Hindi Devotional Songs)","Jagjit Singh",2016-07-01,294400,45,spotify:user:31k2rcy4wlqfw75osfqjgei76qx4,2021-12-15T08:44:14Z,"classic bollywood,desi pop,filmi,ghazal,sufi",0.641,0.5,0,-7.376,1,0.0259,0.688,0.0000061,0.142,0.607,83.003,4
